Dataset,Modelo,RMSE_Test,MAE_Test,R2_Test,RMSE_CV_Media,RMSE_CV_Std
Dominio,Regresión Lineal,3.893066604216462,2.9852648014473537,0.01990322013627821,4.126198909037952,0.16065706050013767
Baseline,Regresión Lineal,3.9022472369517884,3.0093480724646473,0.01527523971138478,4.1285066100335275,0.1562190616721108
Optimizado,Regresión Lineal,3.9376753058797753,3.031580173500212,-0.0026863407232879943,4.143181601871007,0.16700090541107362
Dominio,Random Forest,4.027640110450576,3.1272443296096357,-0.049026861855169024,4.290492747303626,0.2352689275796682
Baseline,Gradient Boosting,4.050460413412026,3.1400238738429476,-0.06094795149361154,4.204445365035815,0.16805924983310058
Ampliado,Random Forest,4.054787144021172,3.177600600176263,-0.06321578639425773,4.240677526792477,0.17525837617811796
Optimizado,Random Forest,4.05508413145167,3.1786700738272065,-0.06337153971842557,4.354456638217822,0.22508801032876646
Ampliado,Regresión Lineal,4.056217174213463,3.136138459141128,-0.06396586215997413,4.308905027197241,0.1828044763885022
Dominio,Gradient Boosting,4.103231906356083,3.161551539892685,-0.0887731963490237,4.2713917867240845,0.18943838399450055
Optimizado,Gradient Boosting,4.105680522625179,3.1980955408920395,-0.09007304158858065,4.277111871070121,0.18051831026491935
Ampliado,Gradient Boosting,4.23824701358748,3.209953615276291,-0.1616032645854404,4.302884647083368,0.20227435265326682
Baseline,Random Forest,4.400065542215074,3.3149426487015163,-0.25199785813760744,4.6274852610657735,0.17922092359734934
